type,interval_seconds
all_interactions,1.052
all_interactions,0.884
all_interactions,0.77
all_interactions,4.846
all_interactions,0.917
all_interactions,1.533
all_interactions,0.735
all_interactions,1.202
all_interactions,0.712
all_interactions,2.806
all_interactions,0.595
all_interactions,0.846
all_interactions,0.587
all_interactions,1.013
all_interactions,0.779
all_interactions,0.575
all_interactions,0.95
all_interactions,5.521
all_interactions,0.929
all_interactions,1.284
all_interactions,1.382
all_interactions,1.219
all_interactions,1.828
all_interactions,0.447
all_interactions,3.224
all_interactions,1.2
all_interactions,2.802
all_interactions,1.559
all_interactions,0.017
all_interactions,1.855
all_interactions,1.483
all_interactions,0.967
all_interactions,0.905
all_interactions,0.963
all_interactions,0.832
all_interactions,11.669
all_interactions,0.679
all_interactions,0.268
all_interactions,1.168
all_interactions,1.851
all_interactions,0.548
all_interactions,0.951
all_interactions,5.659
all_interactions,1.302
all_interactions,1.442
all_interactions,0.98
all_interactions,0.731
all_interactions,0.635
all_interactions,0.97
all_interactions,1.199
all_interactions,1.049
all_interactions,3.683
all_interactions,0.684
all_interactions,2.464
all_interactions,2.018
all_interactions,1.358
all_interactions,1.042
all_interactions,0.62
all_interactions,0.78
all_interactions,0.916
all_interactions,1.367
all_interactions,1.116
all_interactions,5.855
all_interactions,3.632
all_interactions,1.463
all_interactions,0.606
all_interactions,0.726
all_interactions,0.445
all_interactions,3.993
all_interactions,0.898
all_interactions,0.682
all_interactions,0.567
all_interactions,0.932
all_interactions,0.809
all_interactions,0.884
all_interactions,1.058
all_interactions,0.928
all_interactions,0.91
all_interactions,1.746
all_interactions,0.966
all_interactions,0.835
all_interactions,1.551
all_interactions,1.048
all_interactions,1.111
all_interactions,0.997
all_interactions,0.832
all_interactions,1.212
all_interactions,1.031
all_interactions,1.441
all_interactions,0.997
all_interactions,1.557
all_interactions,0.956
all_interactions,1.599
all_interactions,1.417
all_interactions,0.657
all_interactions,1.718
all_interactions,1.186
all_interactions,1.116
all_interactions,0.842
all_interactions,0.914
all_interactions,1.385
all_interactions,0.832
all_interactions,1.306
all_interactions,1.595
all_interactions,1.327
all_interactions,0.986
all_interactions,2.007
all_interactions,1.269
all_interactions,1.343
all_interactions,0.567
all_interactions,1.387
all_interactions,0.95
all_interactions,1.032
all_interactions,1.25
all_interactions,4.751
all_interactions,1.181
all_interactions,1.049
all_interactions,1.485
all_interactions,0.152
all_interactions,2.55
all_interactions,3.281
all_interactions,4.137
all_interactions,0.216
all_interactions,1.013
all_interactions,0.21
all_interactions,0.758
all_interactions,4.617
all_interactions,10.184
all_interactions,0.551
all_interactions,0.29
all_interactions,0.976
all_interactions,1.22
all_interactions,1.214
all_interactions,9.543
all_interactions,3.008
all_interactions,7.421
all_interactions,0.62
all_interactions,3.057
all_interactions,3.325
all_interactions,0.816
all_interactions,3.994
all_interactions,1.068
all_interactions,0.663
all_interactions,2.2
all_interactions,0.801
all_interactions,1.149
all_interactions,1.986
all_interactions,5.865
all_interactions,0.126
all_interactions,1.393
all_interactions,1.272
all_interactions,2.592
all_interactions,1.887
all_interactions,1.079
all_interactions,0.504
all_interactions,1.029
all_interactions,0.7
all_interactions,1.25
all_interactions,9.151
all_interactions,4.034
